"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11276","TC06 - Archive page - renders with heading and controls","chromium","2026-09-18","failed","2026-09-18","Archive page","archive.spec.ts","",""
"","10886","TC01 - Stats page - renders with heading and controls","chromium","2026-09-18","failed","2026-09-18","Stats","stats.spec.ts","",""
"","60301","TC07 - Archive page - create and unarchive a habit","chromium","2026-09-18","broken","2026-09-18","Archive page","archive.spec.ts","",""
"","454","TC18 - Home - filter habits list by category changes displayed habits accordingly","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","464","TC09 - Category filter - allows filtering habits","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","460","TC13 - Home page - initial render shows main heading, filter, show archived checkbox, export buttons disabled, and navigation link","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","442","TC04 - Stats - displays heading and description","chromium","2026-09-18","passed","2026-09-18","Stats","stats.spec.ts","",""
"","651","TC21 - LogoutButton - logout button logs out and navigates to /login","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","1299","TC15 - HabitCard - edit habit updates name, category, target per week, and notes","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","446","TC01 - History page - loads and displays unconditional elements","chromium","2026-09-18","passed","2026-09-18","History","history.spec.ts","",""
"","483","TC07 - Page heading and static elements render","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","1086","TC26 - Home page - search filters habit list results","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","60303","TC09 - Archive page - delete an archived habit","chromium","2026-09-18","broken","2026-09-18","Archive page","archive.spec.ts","",""
"","12015","TC29 - Home page - Complete all for today bulk action disables button and updates label","chromium","2026-09-18","failed","2026-09-18","Home","home.spec.ts","",""
"","476","TC22 - Home page - page loads and displays unconditional controls","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","537","TC07 - Stats page - loads and displays heading and back link","chromium","2026-09-18","passed","2026-09-18","Stats","stats.spec.ts","",""
"","532","TC19 - Home - toggling show archived checkbox updates displayed habits accordingly","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","811","TC01 - Archive page - loads and shows static elements","chromium","2026-09-18","passed","2026-09-18","Archive page","archive.spec.ts","",""
"","939","TC11 - HabitCard inline edit form - opens and cancels edit mode","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","11070","TC10 - HabitCard - marks habit done today disables button","chromium","2026-09-18","failed","2026-09-18","Home","home.spec.ts","",""
"","735","TC05 - Stats - has navigation link back to home page","chromium","2026-09-18","passed","2026-09-18","Stats","stats.spec.ts","",""
"","1762","TC12 - HabitCard inline edit form - saves edited habit and closes form","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","443","TC14 - Archive page - empty state message is shown when no habits are archived (not reachable without backend control)","chromium","2026-09-18","passed","2026-09-18","Archive page","archive.spec.ts","",""
"","1138","TC38 - Home - sorts habits by different criteria updates visible list","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","908","TC28 - Home page - toggling show archived controls archived habits visibility","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","11432","TC04 - Archive page - can edit an archived habit's details","chromium","2026-09-18","failed","2026-09-18","Archive page","archive.spec.ts","",""
"","833","TC05 - Archive page - can navigate back to home page","chromium","2026-09-18","passed","2026-09-18","Archive page","archive.spec.ts","",""
