"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11395","TC35 - HabitCard - toggles archive and unarchive of a habit","chromium","2026-09-18","failed","2026-09-18","Home","home.spec.ts","",""
"","1128","TC34 - HabitCard - marks a habit as completed today","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","758","TC01 - Home page - page loads and renders unconditional elements","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","1398","TC38 - Home - sorts habits by different criteria updates visible list","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","11373","TC10 - HabitCard - marks habit done today disables button","chromium","2026-09-18","failed","2026-09-18","Home","home.spec.ts","",""
"","11377","TC29 - Home page - Complete all for today bulk action disables button and updates label","chromium","2026-09-18","failed","2026-09-18","Home","home.spec.ts","",""
"","852","TC32 - HabitForm - creates a new habit successfully","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","558","TC01 - LoginPage - initial render shows login form with name and password fields and sign in button","chromium","2026-09-18","passed","2026-09-18","Login","login.spec.ts","",""
"","539","TC06 - Stats page - initial render shows heading, description, back link, theme toggle, and logout button","chromium","2026-09-18","passed","2026-09-18","Stats","stats.spec.ts","",""
"","826","TC07 - Page heading and static elements render","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","768","TC02 - History page - navigate back to habits","chromium","2026-09-18","passed","2026-09-18","History","history.spec.ts","",""
"","644","TC01 - History page - loads and displays unconditional elements","chromium","2026-09-18","passed","2026-09-18","History","history.spec.ts","",""
"","593","TC31 - Home - page loads and renders core controls","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","11228","TC06 - Home page - renders with heading and controls","chromium","2026-09-18","failed","2026-09-18","Archive","archive.spec.ts","",""
"","527","TC18 - Home - filter habits list by category changes displayed habits accordingly","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","822","TC06 - HabitCard - Save button disabled when name input is empty or blank","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","796","TC14 - HabitForm - create a habit with notes successfully adds it to the list and enables export buttons","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","677","TC23 - HabitForm - add new habit successfully resets form","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","708","TC02 - Archive page - create and unarchive a habit","chromium","2026-09-18","failed","2026-09-18","Archive","archive.spec.ts","",""
"","549","TC09 - Category filter - allows filtering habits","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","11367","TC01 - Archive page - renders with heading and controls","chromium","2026-09-18","failed","2026-09-18","Archive","archive.spec.ts","",""
"","1060","TC17 - HabitCard - mark habit as done disables mark done button","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","842","TC30 - Home page - Export JSON and CSV buttons visibility and disabled state","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","894","TC05 - HabitCard - cancel edit closes inline form without saving changes","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","650","TC05 - Stats - has navigation link back to home page","chromium","2026-09-18","passed","2026-09-18","Stats","stats.spec.ts","",""
"","644","TC03 - Login Page - successful login navigates to home","chromium","2026-09-18","passed","2026-09-18","Login","login.spec.ts","",""
"","707","TC20 - Home - Export JSON and Export CSV buttons are disabled when no habits exist and enabled after habits are created","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","512","TC02 - LoginPage - invalid login shows error message without navigation","chromium","2026-09-18","passed","2026-09-18","Login","login.spec.ts","",""
"","635","TC19 - Home - toggling show archived checkbox updates displayed habits accordingly","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","685","TC04 - Archive page - delete an archived habit","chromium","2026-09-18","failed","2026-09-18","Archive","archive.spec.ts","",""
"","11373","TC37 - Home - searches for habits by name","chromium","2026-09-18","failed","2026-09-18","Home","home.spec.ts","",""
"","1272","TC40 - Home - completes all incomplete habits for today with bulk action","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","839","TC21 - LogoutButton - logout button logs out and navigates to /login","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","793","TC02 - HabitForm - successful habit creation adds new habit to list","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
