"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1034","TC35 - HabitCard - toggles archive and unarchive of a habit","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","617","TC20 - Home - Export JSON and Export CSV buttons are disabled when no habits exist and enabled after habits are created","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1122","TC25 - HabitCard - edit habit and save changes updates displayed name and disables save button when empty","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","853","TC28 - Home page - toggling show archived controls archived habits visibility","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1036","TC03 - HabitCard - inline edit form displays when Edit button clicked and updates fields","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","709","TC06 - HabitCard - Save button disabled when name input is empty or blank","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","643","TC01 - Home page - page loads and renders unconditional elements","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","602","TC08 - HabitForm - allows creating a new habit","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","435","TC03 - Stats page - initial render shows heading, description, back link, theme toggle, and logout button","chromium","2026-09-17","passed","2026-09-17","Stats","stats.spec.ts","",""
"","584","TC23 - HabitForm - add new habit successfully resets form","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","555","TC18 - Home - filter habits list by category changes displayed habits accordingly","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","699","TC11 - HabitCard inline edit form - opens and cancels edit mode","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","11538","TC29 - Home page - Complete all for today bulk action disables button and updates label","chromium","2026-09-17","failed","2026-09-17","Home","home.spec.ts","",""
"","661","TC04 - HabitForm - form validation disables Add habit button for empty name","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","764","TC05 - HabitCard - cancel edit closes inline form without saving changes","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","709","TC30 - Home page - Export JSON and CSV buttons visibility and disabled state","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
