"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","465","TC06 - History page - shows tracked habit count when habits exist","chromium","2026-09-22","passed","2026-09-22","History","history.spec.ts","",""
"","10887","TC02 - History - shows tracked habit count when habits exist","chromium","2026-09-22","failed","2026-09-22","History","history.spec.ts","",""
"","552","TC05 - Stats - page loads and displays header and controls","chromium","2026-09-22","passed","2026-09-22","StatsSummary","stats.spec.ts","",""
"","443","TC07 - Stats - displays heading and description","chromium","2026-09-22","passed","2026-09-22","StatsSummary","stats.spec.ts","",""
"","61878","TC03 - StatsSummary - displays weekly completion progress bar with correct percentage","chromium","2026-09-22","broken","2026-09-22","StatsSummary","stats.spec.ts","",""
"","451","TC10 - Stats - shows loading label while loading","chromium","2026-09-22","passed","2026-09-22","StatsSummary","stats.spec.ts","",""
"","11154","TC01 - History - page loads and renders unconditional elements","chromium","2026-09-22","failed","2026-09-22","History","history.spec.ts","",""
"","825","TC08 - History page - navigate back to habits","chromium","2026-09-22","passed","2026-09-22","History","history.spec.ts","",""
"","534","TC07 - History page - shows empty state when no habits exist","chromium","2026-09-22","passed","2026-09-22","History","history.spec.ts","",""
"","753","TC02 - StatsSummary - renders empty state message when no habits tracked","chromium","2026-09-22","passed","2026-09-22","StatsSummary","stats.spec.ts","",""
"","677","TC08 - Stats - has navigation link back to home page","chromium","2026-09-22","passed","2026-09-22","StatsSummary","stats.spec.ts","",""
"","476","TC04 - History - shows error message if loading habits fails","chromium","2026-09-22","passed","2026-09-22","History","history.spec.ts","",""
"","10955","TC01 - StatsSummary - renders all stat cards with correct labels and values","chromium","2026-09-22","failed","2026-09-22","StatsSummary","stats.spec.ts","",""
"","691","TC06 - Stats - navigates back to home page from back link","chromium","2026-09-22","passed","2026-09-22","StatsSummary","stats.spec.ts","",""
"","486","TC09 - Stats page - initial render shows heading, description, back link, theme toggle, and logout button","chromium","2026-09-22","passed","2026-09-22","StatsSummary","stats.spec.ts","",""
"","560","TC04 - StatsSummary - displays habits by category with bars proportional to counts","chromium","2026-09-22","failed","2026-09-22","StatsSummary","stats.spec.ts","",""
"","498","TC05 - History page - shows loading state while fetching habits","chromium","2026-09-22","passed","2026-09-22","History","history.spec.ts","",""
"","755","TC03 - History - shows empty state message when no habits exist","chromium","2026-09-22","passed","2026-09-22","History","history.spec.ts","",""
