"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63512","TC25 - Home - filter habits list by category changes displayed habits accordingly","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63461","TC32 - Home page - search filters habit list results","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63452","TC30 - HabitForm - add new habit successfully resets form","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","11288","TC27 - Home - Export JSON and Export CSV buttons are disabled when no habits exist and enabled after habits are created","chromium","2026-09-24","failed","2026-09-24","Home","home.spec.ts","",""
"","11284","TC29 - Home page - page loads and displays unconditional controls","chromium","2026-09-24","failed","2026-09-24","Home","home.spec.ts","",""
"","11229","TC09 - Home page - page loads and renders unconditional elements","chromium","2026-09-24","failed","2026-09-24","Home","home.spec.ts","",""
"","63482","TC06 - Priority filter - filters habits by priority","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63495","TC03 - Complete all button - completes all pending habits","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63529","TC22 - HabitCard - edit habit updates name, category, target per week, and notes","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63563","TC26 - Home - toggling show archived checkbox updates displayed habits accordingly","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63490","TC18 - HabitCard inline edit form - opens and cancels edit mode","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63523","TC13 - HabitCard - Save button disabled when name input is empty or blank","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63553","TC31 - HabitCard - edit habit and save changes updates displayed name and disables save button when empty","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63565","TC16 - Category filter - allows filtering habits","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63467","TC07 - Show archived checkbox - toggles archived habits visibility","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63500","TC23 - HabitCard - archive and unarchive a habit via its archive toggle button","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63557","TC21 - HabitForm - create a habit with notes successfully adds it to the list and enables export buttons","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63456","TC33 - Home page - category filter updates visible habits","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","11329","TC14 - Page heading and static elements render","chromium","2026-09-24","failed","2026-09-24","Home","home.spec.ts","",""
"","63475","TC28 - LogoutButton - logout button logs out and navigates to /login","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63493","TC05 - Category filter - filters habits by category","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63539","TC11 - HabitForm - form validation disables Add habit button for empty name","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63496","TC17 - HabitCard - marks habit done today disables button","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63503","TC04 - Search input - filters habits by name","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","11229","TC02 - Home - page loads and renders unconditional elements","chromium","2026-09-24","failed","2026-09-24","Home","home.spec.ts","",""
"","63499","TC24 - HabitCard - mark habit as done disables mark done button","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63469","TC19 - HabitCard inline edit form - saves edited habit and closes form","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63554","TC12 - HabitCard - cancel edit closes inline form without saving changes","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","11246","TC20 - Home page - initial render shows main heading, filter, show archived checkbox, export buttons disabled, and navigation link","chromium","2026-09-24","failed","2026-09-24","Home","home.spec.ts","",""
"","63601","TC15 - HabitForm - allows creating a new habit","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63523","TC10 - HabitCard - inline edit form displays when Edit button clicked and updates fields","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63509","TC08 - Clear filters button - resets all filters","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63491","TC01 - HabitForm - creates a new habit successfully","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
