"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10986","TC07 - Filters - toggle show archived habits","chromium","2026-09-22","failed","2026-09-22","Home","home.spec.ts","",""
"","1182","TC37 - HabitCard - mark habit as done disables mark done button","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","11070","TC06 - Filters - filter habits by category","chromium","2026-09-22","failed","2026-09-22","Home","home.spec.ts","",""
"","62109","TC32 - HabitCard inline edit form - saves edited habit and closes form","chromium","2026-09-22","broken","2026-09-22","Home","home.spec.ts","",""
"","11029","TC02 - Home - page loads and renders unconditional elements","chromium","2026-09-22","failed","2026-09-22","Home","home.spec.ts","",""
"","11760","TC35 - HabitCard - edit habit updates name, category, target per week, and notes","chromium","2026-09-22","failed","2026-09-22","Home","home.spec.ts","",""
"","530","TC67 - Home - page loads with unconditional elements","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","1175","TC28 - HabitForm - allows creating a new habit","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","664","TC61 - Home - navigation links go to correct routes","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","11000","TC16 - HabitCard - archives and unarchives a habit","chromium","2026-09-22","failed","2026-09-22","Home","home.spec.ts","",""
"","499","TC24 - HabitForm - form validation disables Add habit button for empty name","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","684","TC66 - Home - clear all filters resets search, category, archived, and sort","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","730","TC42 - Home page - page loads and displays unconditional controls","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","3028","TC48 - Home page - Complete all for today bulk action disables button and updates label","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","62296","TC31 - HabitCard inline edit form - opens and cancels edit mode","chromium","2026-09-22","broken","2026-09-22","Home","home.spec.ts","",""
"","11506","TC50 - HabitCard - edits an existing habit\\\'s name, category, target per week, and notes","chromium","2026-09-22","failed","2026-09-22","Home","home.spec.ts","",""
"","11251","TC46 - Home page - category filter updates visible habits","chromium","2026-09-22","failed","2026-09-22","Home","home.spec.ts","",""
