"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","697","TC53 - Home - searches for habits by name","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","11706","TC33 - HabitCard - edit habit updates name, category, target per week, and notes","chromium","2026-09-21","failed","2026-09-21","Home","home.spec.ts","",""
"","658","TC03 - Login Page - successful login navigates to home","chromium","2026-09-21","passed","2026-09-21","Login","login.spec.ts","",""
"","959","TC54 - Home - sorts habits by different criteria updates visible list","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","544","TC01 - History page - loads and displays unconditional elements","chromium","2026-09-21","passed","2026-09-21","History","history.spec.ts","",""
"","813","TC09 - Home - clear all filters resets search, category, archived, and sort","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","799","TC17 - Category filter - filters habit list by category","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","1292","TC05 - Archive page - can delete an archived habit","chromium","2026-09-21","passed","2026-09-21","Archive","archive.spec.ts","",""
"","487","TC10 - Archive page - empty state message is shown when no habits are archived (not reachable without backend control)","chromium","2026-09-21","passed","2026-09-21","Archive","archive.spec.ts","",""
"","1063","TC30 - HabitCard inline edit form - saves edited habit and closes form","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","11216","TC61 - Home page - loads and renders main UI elements","chromium","2026-09-21","failed","2026-09-21","Home","home.spec.ts","",""
"","528","TC31 - Home page - initial render shows main heading, filter, show archived checkbox, export buttons disabled, and navigation link","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","939","TC13 - HabitCard - marks a habit as done today button disables afterward","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","524","TC19 - HabitForm - disables Add habit button when name is empty","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","825","TC60 - Home - shows clear filters button when filters are active","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","849","TC23 - HabitCard - cancel edit closes inline form without saving changes","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","11469","TC46 - Home page - Complete all for today bulk action disables button and updates label","chromium","2026-09-21","failed","2026-09-21","Home","home.spec.ts","",""
"","1024","TC08 - Archive page - can navigate back to home page","chromium","2026-09-21","passed","2026-09-21","Archive","archive.spec.ts","",""
"","661","TC39 - LogoutButton - logout button logs out and navigates to /login","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","659","TC03 - Home - complete a habit and verify completed state","chromium","2026-09-21","failed","2026-09-21","Home","home.spec.ts","",""
"","605","TC37 - Home - toggling show archived checkbox updates displayed habits accordingly","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","948","TC03 - HabitCard - duplicate habit button is visible and clickable on archived habits","chromium","2026-09-21","passed","2026-09-21","Archive","archive.spec.ts","",""
"","985","TC21 - HabitCard - inline edit form displays when Edit button clicked and updates fields","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","700","TC15 - HabitCard - removes a habit after confirm dialog","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","445","TC02 - Stats - page loads with heading and navigation link","chromium","2026-09-21","passed","2026-09-21","Stats","stats.spec.ts","",""
"","482","TC36 - Home - filter habits list by category changes displayed habits accordingly","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","495","TC27 - Category filter - allows filtering habits","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","541","TC22 - HabitForm - form validation disables Add habit button for empty name","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","551","TC05 - Stats - has navigation link back to home page","chromium","2026-09-21","passed","2026-09-21","Stats","stats.spec.ts","",""
"","1228","TC06 - Archive page - can unarchive an archived habit","chromium","2026-09-21","passed","2026-09-21","Archive","archive.spec.ts","",""
"","752","TC29 - HabitCard inline edit form - opens and cancels edit mode","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","469","TC01 - LoginPage - initial render shows login form with name and password fields and sign in button","chromium","2026-09-21","passed","2026-09-21","Login","login.spec.ts","",""
"","1006","TC18 - Sort by dropdown - sorts habit list by name ascending","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","498","TC01 - Stats page - renders with heading and controls","chromium","2026-09-21","passed","2026-09-21","Stats","stats.spec.ts","",""
"","609","TC58 - Home - clicking clear filters resets all filters to default","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","863","TC16 - Search box - filters habit list by matching name","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","695","TC41 - HabitForm - add new habit successfully resets form","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","678","TC26 - HabitForm - allows creating a new habit","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","628","TC20 - Home page - page loads and renders unconditional elements","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","796","TC47 - Home page - Export JSON and CSV buttons visibility and disabled state","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","590","TC38 - Home - Export JSON and Export CSV buttons are disabled when no habits exist and enabled after habits are created","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","648","TC02 - History page - navigate back to habits","chromium","2026-09-21","passed","2026-09-21","History","history.spec.ts","",""
"","1543","TC43 - Home page - search filters habit list results","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","1341","TC07 - Archive page - can edit an archived habit's details","chromium","2026-09-21","passed","2026-09-21","Archive","archive.spec.ts","",""
"","914","TC62 - HabitCard - duplicates a habit and appends the copy with \\\' (copy)\\\' suffix","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","11228","TC32 - HabitForm - create a habit with notes successfully adds it to the list and enables export buttons","chromium","2026-09-21","failed","2026-09-21","Home","home.spec.ts","",""
"","1060","TC56 - Home - completes all incomplete habits for today with bulk action","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
"","452","TC09 - Archive page - error message appears when loading fails (non-deterministic)","chromium","2026-09-21","passed","2026-09-21","Archive","archive.spec.ts","",""
"","693","TC04 - Home - navigation links go to correct routes","chromium","2026-09-21","passed","2026-09-21","Home","home.spec.ts","",""
