"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11012","TC02 - History page - shows loading state while fetching habits","chromium","2026-09-23","failed","2026-09-23","History","history.spec.ts","",""
"","124821","TC08 - HabitCard - edits a habit\'s name, category, target per week, and notes successfully","chromium","2026-09-23","broken","2026-09-23","Home","home.spec.ts","",""
"","426","TC05 - History page - shows empty state when no habits exist","chromium","2026-09-23","passed","2026-09-23","History","history.spec.ts","",""
"","124782","TC04 - Archive HabitCard - duplicates an archived habit, creating an active copy on home page","chromium","2026-09-23","broken","2026-09-23","Archive","archive.spec.ts","",""
"","124883","TC07 - HabitForm - adds a new habit successfully","chromium","2026-09-23","broken","2026-09-23","Home","home.spec.ts","",""
"","10960","TC06 - Home - page loads with unconditional elements visible","chromium","2026-09-23","failed","2026-09-23","Home","home.spec.ts","",""
"","124993","TC01 - HabitCard - toggle pin state on an archived habit card","chromium","2026-09-23","broken","2026-09-23","Archive","archive.spec.ts","",""
"","11214","TC03 - Archive page - loads and renders main UI elements","chromium","2026-09-23","failed","2026-09-23","Archive","archive.spec.ts","",""
"","124827","TC07 - Archive page - can delete an archived habit","chromium","2026-09-23","broken","2026-09-23","Archive","archive.spec.ts","",""
"","10926","TC01 - Home - page loads and renders unconditional elements","chromium","2026-09-23","failed","2026-09-23","Home","home.spec.ts","",""
"","11116","TC01 - History page - loads and displays unconditional elements","chromium","2026-09-23","failed","2026-09-23","History","history.spec.ts","",""
"","11079","TC05 - Home - filter habits by priority","chromium","2026-09-23","failed","2026-09-23","Home","home.spec.ts","",""
"","447","TC04 - History page - shows error message if habits fail to load","chromium","2026-09-23","passed","2026-09-23","History","history.spec.ts","",""
"","125061","TC04 - HabitCard - cycle priority on a habit card","chromium","2026-09-23","broken","2026-09-23","Home","home.spec.ts","",""
"","62498","TC06 - History page - navigate back to habits","chromium","2026-09-23","broken","2026-09-23","History","history.spec.ts","",""
"","433","TC11 - Archive page - empty state message is shown when no habits are archived (not reachable without backend control)","chromium","2026-09-23","passed","2026-09-23","Archive","archive.spec.ts","",""
"","603","TC03 - History page - shows tracked habit count when habits exist","chromium","2026-09-23","passed","2026-09-23","History","history.spec.ts","",""
"","937","TC10 - Archive page - error message appears when loading fails (non-deterministic)","chromium","2026-09-23","passed","2026-09-23","Archive","archive.spec.ts","",""
"","124799","TC09 - HabitCard - marks a habit as done today button disables afterward","chromium","2026-09-23","broken","2026-09-23","Home","home.spec.ts","",""
"","10944","TC06 - Archive page - loads and shows static elements","chromium","2026-09-23","failed","2026-09-23","Archive","archive.spec.ts","",""
"","125121","TC05 - HabitCard - duplicate habit button is visible and clickable on archived habits","chromium","2026-09-23","broken","2026-09-23","Archive","archive.spec.ts","",""
"","124936","TC03 - HabitCard - toggle pin state on a habit card","chromium","2026-09-23","broken","2026-09-23","Home","home.spec.ts","",""
"","125001","TC02 - HabitForm - create a new habit successfully","chromium","2026-09-23","broken","2026-09-23","Home","home.spec.ts","",""
"","124788","TC02 - HabitCard - cycle priority on an archived habit card","chromium","2026-09-23","broken","2026-09-23","Archive","archive.spec.ts","",""
"","124789","TC09 - Archive page - can navigate back to home page","chromium","2026-09-23","broken","2026-09-23","Archive","archive.spec.ts","",""
"","124870","TC08 - Archive page - can unarchive an archived habit","chromium","2026-09-23","broken","2026-09-23","Archive","archive.spec.ts","",""
