"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63397","TC07 - HabitCard - duplicate habit button is visible and clickable on archived habits","chromium","2026-09-24","broken","2026-09-24","Archive","archive.spec.ts","",""
"","11203","TC01 - Home - page loads and renders unconditional elements","chromium","2026-09-24","failed","2026-09-24","Home","home.spec.ts","",""
"","63412","TC06 - Archive HabitCard - duplicates an archived habit, creating an active copy on home page","chromium","2026-09-24","broken","2026-09-24","Archive","archive.spec.ts","",""
"","63493","TC06 - Home - sorts habits by priority with pinned habits on top","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","11173","TC08 - Archive page - loads and shows static elements","chromium","2026-09-24","failed","2026-09-24","Archive","archive.spec.ts","",""
"","11146","TC05 - Archive page - loads and renders main UI elements","chromium","2026-09-24","failed","2026-09-24","Archive","archive.spec.ts","",""
"","63557","TC02 - HabitForm - creates a new habit with priority","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63433","TC10 - Archive page - can unarchive an archived habit","chromium","2026-09-24","broken","2026-09-24","Archive","archive.spec.ts","",""
"","63410","TC02 - Archive - cycles priority on an archived habit card","chromium","2026-09-24","broken","2026-09-24","Archive","archive.spec.ts","",""
"","63514","TC08 - HabitForm - create a new habit successfully","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63575","TC04 - HabitCard - cycle priority on an archived habit card","chromium","2026-09-24","broken","2026-09-24","Archive","archive.spec.ts","",""
"","486","TC13 - Archive page - empty state message is shown when no habits are archived (not reachable without backend control)","chromium","2026-09-24","passed","2026-09-24","Archive","archive.spec.ts","",""
"","63506","TC09 - Archive page - can delete an archived habit","chromium","2026-09-24","broken","2026-09-24","Archive","archive.spec.ts","",""
"","63462","TC01 - Archive - toggles pin state on an archived habit card","chromium","2026-09-24","broken","2026-09-24","Archive","archive.spec.ts","",""
"","565","TC12 - Archive page - error message appears when loading fails (non-deterministic)","chromium","2026-09-24","passed","2026-09-24","Archive","archive.spec.ts","",""
"","63456","TC03 - HabitCard - toggle pin state on an archived habit card","chromium","2026-09-24","broken","2026-09-24","Archive","archive.spec.ts","",""
"","63484","TC03 - Home - toggles pin state on a habit card","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","63415","TC04 - Home - cycles priority on a habit card","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
"","794","TC07 - Home - imports habits from CSV file","chromium","2026-09-24","failed","2026-09-24","Home","home.spec.ts","",""
"","63505","TC11 - Archive page - can navigate back to home page","chromium","2026-09-24","broken","2026-09-24","Archive","archive.spec.ts","",""
"","63419","TC05 - Home - filters habits by priority","chromium","2026-09-24","broken","2026-09-24","Home","home.spec.ts","",""
