"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1485","TC23 - Search box - filters habit list by matching name","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","938","TC18 - HabitForm - adds a new habit successfully","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","2002","TC51 - HabitCard - edit habit and save changes updates displayed name and disables save button when empty","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","0","TC61 - HabitCard - toggles archive and unarchive of a habit","chromium","2026-09-17","skipped","2026-09-17","Home","home.spec.ts","",""
"","980","TC40 - HabitForm - create a habit with notes successfully adds it to the list and enables export buttons","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","0","TC65 - Home - toggles show archived checkbox updates habits list","chromium","2026-09-17","skipped","2026-09-17","Home","home.spec.ts","",""
"","1274","TC52 - Home page - search filters habit list results","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","11332","TC20 - HabitCard - marks a habit as done today button disables afterward","chromium","2026-09-17","failed","2026-09-17","Home","home.spec.ts","",""
"","0","TC07 - Stats page - loads and displays heading and back link","chromium","2026-09-17","skipped","2026-09-17","Stats","stats.spec.ts","",""
"","0","TC58 - HabitForm - creates a new habit successfully","chromium","2026-09-17","skipped","2026-09-17","Home","home.spec.ts","",""
"","62913","TC12 - Home - show archived toggle includes archived habits in list","chromium","2026-09-17","broken","2026-09-17","Home","home.spec.ts","",""
"","11332","TC19 - HabitCard - edits a habit\'s name, category, target per week, and notes successfully","chromium","2026-09-17","failed","2026-09-17","Home","home.spec.ts","",""
"","1021","TC31 - HabitCard - cancel edit closes inline form without saving changes","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","0","TC60 - HabitCard - marks a habit as completed today","chromium","2026-09-17","skipped","2026-09-17","Home","home.spec.ts","",""
"","1","TC64 - Home - sorts habits by different criteria updates visible list","chromium","2026-09-17","skipped","2026-09-17","Home","home.spec.ts","",""
"","0","TC03 - Stats - navigates back to home page from back link","chromium","2026-09-17","skipped","2026-09-17","Stats","stats.spec.ts","",""
"","0","TC01 - Stats - page load shows heading, back link and controls","chromium","2026-09-17","skipped","2026-09-17","Stats","stats.spec.ts","",""
"","1081","TC37 - HabitCard inline edit form - opens and cancels edit mode","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1257","TC36 - HabitCard - marks habit done today disables button","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1275","TC03 - HabitCard - mark habit done disables Done today button and changes text","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1208","TC43 - HabitCard - mark habit as done disables mark done button","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1","TC08 - LoginPage - successful login with valid name and password navigates to home","chromium","2026-09-17","skipped","2026-09-17","Login","login.spec.ts","",""
"","0","TC09 - LoginPage - invalid login shows error message without navigation","chromium","2026-09-17","skipped","2026-09-17","Login","login.spec.ts","",""
"","0","TC04 - Stats - displays heading and description","chromium","2026-09-17","skipped","2026-09-17","Stats","stats.spec.ts","",""
"","567","TC33 - Page heading and static elements render","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","0","TC03 - Login Page - shows error message on invalid login attempt","chromium","2026-09-17","skipped","2026-09-17","Login","login.spec.ts","",""
"","544","TC44 - Home - filter habits list by category changes displayed habits accordingly","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1","TC62 - Home - filters habits by category","chromium","2026-09-17","skipped","2026-09-17","Home","home.spec.ts","",""
"","1666","TC21 - HabitCard - archives and unarchives a habit","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","0","TC04 - Login Page - loads and displays form elements","chromium","2026-09-17","skipped","2026-09-17","Login","login.spec.ts","",""
"","62920","TC09 - Home - search filters visible habits by matching name","chromium","2026-09-17","broken","2026-09-17","Home","home.spec.ts","",""
"","672","TC49 - HabitForm - add new habit successfully resets form","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","744","TC14 - LogoutButton - click logout navigates to /login","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1349","TC29 - HabitCard - inline edit form displays when Edit button clicked and updates fields","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1047","TC07 - HabitCard - freeze and unfreeze habit toggles freeze button label and aria-label","chromium","2026-09-17","failed","2026-09-17","Home","home.spec.ts","",""
"","1137","TC25 - Sort by dropdown - sorts habit list by name ascending","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","0","TC06 - Stats page - initial render shows heading, description, back link, theme toggle, and logout button","chromium","2026-09-17","skipped","2026-09-17","Stats","stats.spec.ts","",""
"","1204","TC05 - HabitCard - delete habit confirms prompt and removes habit from list","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","0","TC02 - Login Page - successful login redirects to home page","chromium","2026-09-17","skipped","2026-09-17","Login","login.spec.ts","",""
"","0","TC63 - Home - searches for habits by name","chromium","2026-09-17","skipped","2026-09-17","Home","home.spec.ts","",""
"","578","TC30 - HabitForm - form validation disables Add habit button for empty name","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1596","TC10 - Home - category filter filters visible habits by selected category","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1213","TC22 - HabitCard - removes a habit after confirm dialog","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","0","TC05 - Login Page - successful login navigates to home","chromium","2026-09-17","skipped","2026-09-17","Login","login.spec.ts","",""
"","939","TC13 - Home - export JSON and CSV buttons enabled state reflect habit list","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1405","TC04 - HabitCard - edit habit details and save updates the card","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","648","TC45 - Home - toggling show archived checkbox updates displayed habits accordingly","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","938","TC34 - HabitForm - allows creating a new habit","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","0","TC01 - Login Page - initial render shows heading and empty inputs","chromium","2026-09-17","skipped","2026-09-17","Login","login.spec.ts","",""
"","647","TC27 - Home page - page loads and renders unconditional elements","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","11212","TC01 - Home - page load shows heading and all unconditional controls","chromium","2026-09-17","failed","2026-09-17","Home","home.spec.ts","",""
"","11866","TC55 - Home page - Complete all for today bulk action disables button and updates label","chromium","2026-09-17","failed","2026-09-17","Home","home.spec.ts","",""
"","1219","TC24 - Category filter - filters habit list by category","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1528","TC02 - HabitForm - successful habit creation enables Add habit button and clears inputs","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","0","TC59 - HabitCard - edits an existing habit\\\'s name, category, target per week, and notes","chromium","2026-09-17","skipped","2026-09-17","Home","home.spec.ts","",""
"","1","TC56 - Home page - Export JSON and CSV buttons visibility and disabled state","chromium","2026-09-17","skipped","2026-09-17","Home","home.spec.ts","",""
"","1182","TC53 - Home page - category filter updates visible habits","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","570","TC26 - HabitForm - disables Add habit button when name is empty","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","0","TC57 - Home - page loads and renders core controls","chromium","2026-09-17","skipped","2026-09-17","Home","home.spec.ts","",""
"","991","TC11 - Home - sort select sorts visible habits by selected option","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","0","TC07 - LoginPage - initial render shows login form with name and password fields and sign in button","chromium","2026-09-17","skipped","2026-09-17","Login","login.spec.ts","",""
