"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","780","TC25 - Home page - Export JSON and CSV buttons visibility and disabled state","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","60260","TC08 - History page - habit strips render and show status dots","chromium","2026-09-18","broken","2026-09-18","Archive","archive.spec.ts","",""
"","60271","TC05 - Archive page - delete an archived habit","chromium","2026-09-18","broken","2026-09-18","Archive","archive.spec.ts","",""
"","820","TC30 - Home - toggles show archived checkbox updates habits list","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","434","TC06 - Stats page - initial render shows heading, description, back link, theme toggle, and logout button","chromium","2026-09-18","passed","2026-09-18","Stats","stats.spec.ts","",""
"","611","TC06 - Home - page loads with unconditional elements visible","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","767","TC21 - LogoutButton - logout button logs out and navigates to /login","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","397","TC04 - Stats - displays heading and description","chromium","2026-09-18","passed","2026-09-18","Stats","stats.spec.ts","",""
"","1557","TC08 - HabitCard - archives and unarchives a habit","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","479","TC14 - Page heading and static elements render","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","10907","TC01 - History page - loads and renders base elements","chromium","2026-09-18","failed","2026-09-18","History","history.spec.ts","",""
"","648","TC01 - Stats page - loads and renders base elements","chromium","2026-09-18","passed","2026-09-18","Stats","stats.spec.ts","",""
"","699","TC02 - History page - loads and displays unconditional elements","chromium","2026-09-18","passed","2026-09-18","History","history.spec.ts","",""
"","1592","TC28 - HabitCard - toggles archive and unarchive of a habit","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","532","TC03 - Login Page - successful login navigates to home","chromium","2026-09-18","passed","2026-09-18","Login","login.spec.ts","",""
"","512","TC19 - Home - toggling show archived checkbox updates displayed habits accordingly","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
"","687","TC20 - Home - Export JSON and Export CSV buttons are disabled when no habits exist and enabled after habits are created","chromium","2026-09-18","passed","2026-09-18","Home","home.spec.ts","",""
