"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1150","TC08 - HabitCard - removes a habit after confirm dialog","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","1154","TC36 - Home page - category filter updates visible habits","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","521","TC23 - Home page - initial render shows main heading, filter, show archived checkbox, export buttons disabled, and navigation link","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","437","TC28 - Home - filter habits list by category changes displayed habits accordingly","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","1207","TC40 - HabitCard - edits an existing habit\\\'s name, category, target per week, and notes","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","1364","TC34 - HabitCard - edit habit and save changes updates displayed name and disables save button when empty","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","1124","TC10 - Category filter - filters habit list by category","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","1260","TC11 - Sort by dropdown - sorts habit list by name ascending","chromium","2026-09-19","failed","2026-09-19","Home","home.spec.ts","",""
"","955","TC21 - HabitCard inline edit form - opens and cancels edit mode","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","11789","TC25 - HabitCard - edit habit updates name, category, target per week, and notes","chromium","2026-09-19","failed","2026-09-19","Home","home.spec.ts","",""
"","11071","TC44 - Home - searches for habits by name","chromium","2026-09-19","failed","2026-09-19","Home","home.spec.ts","",""
"","848","TC48 - Home - category filter filters displayed habits","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","550","TC03 - Home - page loads with unconditional elements visible","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","1360","TC35 - Home page - search filters habit list results","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","834","TC49 - Home - sort habits by different options changes order","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","1094","TC38 - Home page - Export JSON and CSV buttons visibility and disabled state","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","412","TC10 - Archive page - empty state message is shown when no habits are archived (not reachable without backend control)","chromium","2026-09-19","passed","2026-09-19","Archive","archive.spec.ts","",""
"","908","TC04 - HabitForm - adds a new habit successfully","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","449","TC09 - Archive page - error message appears when loading fails (non-deterministic)","chromium","2026-09-19","passed","2026-09-19","Archive","archive.spec.ts","",""
"","496","TC01 - Home - page loads and shows unconditional elements","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","62181","TC03 - HabitCard in Archive - duplicates an archived habit, which does not appear in Archive but is presumably added to Home","chromium","2026-09-19","broken","2026-09-19","Archive","archive.spec.ts","",""
"","801","TC30 - Home - Export JSON and Export CSV buttons are disabled when no habits exist and enabled after habits are created","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","487","TC50 - Home page - loads and renders unconditional elements","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","1645","TC26 - HabitCard - archive and unarchive a habit via its archive toggle button","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","581","TC03 - Login Page - successful login navigates to home","chromium","2026-09-19","passed","2026-09-19","Login","login.spec.ts","",""
"","1647","TC02 - Archive page - loads and renders unconditional elements","chromium","2026-09-19","failed","2026-09-19","Archive","archive.spec.ts","",""
"","11531","TC06 - Archive page - can unarchive an archived habit","chromium","2026-09-19","failed","2026-09-19","Archive","archive.spec.ts","",""
"","529","TC01 - LoginPage - initial render shows login form with name and password fields and sign in button","chromium","2026-09-19","passed","2026-09-19","Login","login.spec.ts","",""
"","1061","TC16 - HabitCard - Save button disabled when name input is empty or blank","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","624","TC01 - History page - loads and displays unconditional elements","chromium","2026-09-19","passed","2026-09-19","History","history.spec.ts","",""
"","446","TC14 - HabitForm - form validation disables Add habit button for empty name","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","1121","TC01 - HabitCard - duplicate archived habit creates active copy (not shown in archive)","chromium","2026-09-19","passed","2026-09-19","Archive","archive.spec.ts","",""
"","771","TC31 - LogoutButton - logout button logs out and navigates to /login","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","1263","TC13 - HabitCard - inline edit form displays when Edit button clicked and updates fields","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","10962","TC01 - Stats page - renders with heading and controls","chromium","2026-09-19","failed","2026-09-19","Stats","stats.spec.ts","",""
"","11450","TC06 - HabitCard - marks a habit as done today button disables afterward","chromium","2026-09-19","failed","2026-09-19","Home","home.spec.ts","",""
"","493","TC17 - Page heading and static elements render","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","545","TC02 - History page - navigate back to habits","chromium","2026-09-19","passed","2026-09-19","History","history.spec.ts","",""
"","431","TC06 - Stats page - initial render shows heading, description, back link, theme toggle, and logout button","chromium","2026-09-19","passed","2026-09-19","Stats","stats.spec.ts","",""
"","868","TC39 - HabitForm - creates a new habit successfully","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","881","TC02 - HabitCard - duplicate habit adds new habit to the list","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","476","TC02 - LoginPage - invalid login shows error message without navigation","chromium","2026-09-19","passed","2026-09-19","Login","login.spec.ts","",""
"","555","TC05 - Stats - has navigation link back to home page","chromium","2026-09-19","passed","2026-09-19","Stats","stats.spec.ts","",""
"","10970","TC20 - HabitCard - marks habit done today disables button","chromium","2026-09-19","failed","2026-09-19","Home","home.spec.ts","",""
"","62250","TC37 - Home page - toggling show archived controls archived habits visibility","chromium","2026-09-19","broken","2026-09-19","Home","home.spec.ts","",""
"","587","TC29 - Home - toggling show archived checkbox updates displayed habits accordingly","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","1688","TC42 - HabitCard - toggles archive and unarchive of a habit","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","1365","TC09 - Search box - filters habit list by matching name","chromium","2026-09-19","passed","2026-09-19","Home","home.spec.ts","",""
"","11375","TC24 - HabitForm - create a habit with notes successfully adds it to the list and enables export buttons","chromium","2026-09-19","failed","2026-09-19","Home","home.spec.ts","",""
"","11154","TC41 - HabitCard - marks a habit as completed today","chromium","2026-09-19","failed","2026-09-19","Home","home.spec.ts","",""
