"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","735","TC14 - Home page - page loads and renders unconditional elements","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","717","TC08 - Archive page - can navigate back to home page","chromium","2026-09-20","passed","2026-09-20","Archive","archive.spec.ts","",""
"","11190","TC01 - Stats page - renders with heading and controls","chromium","2026-09-20","failed","2026-09-20","Stats","stats.spec.ts","",""
"","672","TC05 - Stats - has navigation link back to home page","chromium","2026-09-20","passed","2026-09-20","Stats","stats.spec.ts","",""
"","62842","TC29 - HabitCard - mark habit as done disables mark done button","chromium","2026-09-20","broken","2026-09-20","Home","home.spec.ts","",""
"","1003","TC37 - Home page - search filters habit list results","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","771","TC20 - HabitForm - allows creating a new habit","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","978","TC09 - HabitCard - removes a habit after confirm dialog","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","690","TC02 - Archive HabitCard - duplicates an archived habit, creating an active copy on home page","chromium","2026-09-20","passed","2026-09-20","Archive","archive.spec.ts","",""
"","996","TC11 - Category filter - filters habit list by category","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","733","TC13 - HabitForm - disables Add habit button when name is empty","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","11993","TC27 - HabitCard - edit habit updates name, category, target per week, and notes","chromium","2026-09-20","failed","2026-09-20","Home","home.spec.ts","",""
"","1256","TC07 - Archive page - can edit an archived habit\\\'s details","chromium","2026-09-20","passed","2026-09-20","Archive","archive.spec.ts","",""
"","1299","TC50 - Home - completes all incomplete habits for today with bulk action","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","686","TC30 - Home - filter habits list by category changes displayed habits accordingly","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","872","TC18 - HabitCard - Save button disabled when name input is empty or blank","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","670","TC35 - HabitForm - add new habit successfully resets form","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","1224","TC39 - Home page - toggling show archived controls archived habits visibility","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","779","TC41 - Home page - Export JSON and CSV buttons visibility and disabled state","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","1285","TC06 - Archive page - can unarchive an archived habit","chromium","2026-09-20","passed","2026-09-20","Archive","archive.spec.ts","",""
"","1041","TC01 - Archive page - loads and renders main UI elements","chromium","2026-09-20","passed","2026-09-20","Archive","archive.spec.ts","",""
"","660","TC31 - Home - toggling show archived checkbox updates displayed habits accordingly","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","11350","TC22 - HabitCard - marks habit done today disables button","chromium","2026-09-20","failed","2026-09-20","Home","home.spec.ts","",""
"","645","TC51 - Home page - initial render with unconditional elements","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","523","TC21 - Category filter - allows filtering habits","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","726","TC33 - LogoutButton - logout button logs out and navigates to /login","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","791","TC10 - Search box - filters habit list by matching name","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","572","TC25 - Home page - initial render shows main heading, filter, show archived checkbox, export buttons disabled, and navigation link","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","1368","TC08 - HabitCard - archives and unarchives a habit","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","1204","TC36 - HabitCard - edit habit and save changes updates displayed name and disables save button when empty","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","968","TC38 - Home page - category filter updates visible habits","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","570","TC16 - HabitForm - form validation disables Add habit button for empty name","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","633","TC02 - Stats - page loads with heading and navigation link","chromium","2026-09-20","passed","2026-09-20","Stats","stats.spec.ts","",""
"","11443","TC26 - HabitForm - create a habit with notes successfully adds it to the list and enables export buttons","chromium","2026-09-20","failed","2026-09-20","Home","home.spec.ts","",""
"","11229","TC03 - HabitCard - duplicate habit button is visible and clickable on archived habits","chromium","2026-09-20","failed","2026-09-20","Archive","archive.spec.ts","",""
"","586","TC19 - Page heading and static elements render","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","622","TC03 - Stats - navigates back to home page from back link","chromium","2026-09-20","passed","2026-09-20","Stats","stats.spec.ts","",""
"","11535","TC07 - HabitCard - marks a habit as done today button disables afterward","chromium","2026-09-20","failed","2026-09-20","Home","home.spec.ts","",""
"","1048","TC43 - HabitCard - edits an existing habit\\\'s name, category, target per week, and notes","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","1050","TC24 - HabitCard inline edit form - saves edited habit and closes form","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","1446","TC28 - HabitCard - archive and unarchive a habit via its archive toggle button","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","710","TC04 - Home - page loads with unconditional elements visible","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","60358","TC06 - HabitCard - edits a habit\'s name, category, target per week, and notes successfully","chromium","2026-09-20","broken","2026-09-20","Home","home.spec.ts","",""
"","60361","TC03 - Home page - clears all filters when 'Clear filters' button is clicked","chromium","2026-09-20","broken","2026-09-20","Home","home.spec.ts","",""
"","493","TC04 - Stats - displays heading and description","chromium","2026-09-20","passed","2026-09-20","Stats","stats.spec.ts","",""
"","654","TC01 - History page - loads and displays unconditional elements","chromium","2026-09-20","passed","2026-09-20","History","history.spec.ts","",""
"","964","TC23 - HabitCard inline edit form - opens and cancels edit mode","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","885","TC47 - Home - searches for habits by name","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","605","TC34 - Home page - page loads and displays unconditional controls","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","668","TC42 - HabitForm - creates a new habit successfully","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","686","TC32 - Home - Export JSON and Export CSV buttons are disabled when no habits exist and enabled after habits are created","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
