"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","565","TC01 - Home - page loads with unconditional elements","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","635","TC02 - History page - navigate back to habits","chromium","2026-09-20","passed","2026-09-20","History","history.spec.ts","",""
"","801","TC08 - Archive page - can navigate back to home page","chromium","2026-09-20","passed","2026-09-20","Archive","archive.spec.ts","",""
"","1134","TC25 - HabitCard inline edit form - saves edited habit and closes form","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","638","TC01 - History page - loads and displays unconditional elements","chromium","2026-09-20","passed","2026-09-20","History","history.spec.ts","",""
"","975","TC12 - Category filter - filters habit list by category","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","782","TC05 - Stats - has navigation link back to home page","chromium","2026-09-20","passed","2026-09-20","Stats","stats.spec.ts","",""
"","11319","TC23 - HabitCard - marks habit done today disables button","chromium","2026-09-20","failed","2026-09-20","Home","home.spec.ts","",""
"","1304","TC46 - HabitCard - toggles archive and unarchive of a habit","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","679","TC15 - Home page - page loads and renders unconditional elements","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","719","TC06 - HabitForm - adds a new habit successfully","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","739","TC02 - Archive HabitCard - duplicates an archived habit, creating an active copy on home page","chromium","2026-09-20","passed","2026-09-20","Archive","archive.spec.ts","",""
"","627","TC32 - Home - toggling show archived checkbox updates displayed habits accordingly","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","1130","TC47 - Home - filters habits by category","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","1289","TC51 - Home - completes all incomplete habits for today with bulk action","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","820","TC18 - HabitCard - cancel edit closes inline form without saving changes","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","996","TC24 - HabitCard inline edit form - opens and cancels edit mode","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","11175","TC01 - Stats page - renders with heading and controls","chromium","2026-09-20","failed","2026-09-20","Stats","stats.spec.ts","",""
"","1032","TC38 - Home page - search filters habit list results","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","499","TC10 - Archive page - empty state message is shown when no habits are archived (not reachable without backend control)","chromium","2026-09-20","passed","2026-09-20","Archive","archive.spec.ts","",""
"","1284","TC01 - Archive page - loads and renders main UI elements","chromium","2026-09-20","passed","2026-09-20","Archive","archive.spec.ts","",""
"","739","TC52 - Home page - loads and renders main UI elements","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","1115","TC16 - HabitCard - inline edit form displays when Edit button clicked and updates fields","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","554","TC20 - Page heading and static elements render","chromium","2026-09-20","passed","2026-09-20","Home","home.spec.ts","",""
"","11891","TC08 - HabitCard - marks a habit as done today button disables afterward","chromium","2026-09-20","failed","2026-09-20","Home","home.spec.ts","",""
"","11749","TC28 - HabitCard - edit habit updates name, category, target per week, and notes","chromium","2026-09-20","failed","2026-09-20","Home","home.spec.ts","",""
