"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62890","TC60 - Filters - search habits by name","chromium","2026-09-22","broken","2026-09-22","Home","home.spec.ts","",""
"","1055","TC54 - Home - sorts habits by different criteria updates visible list","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","912","TC19 - Sort by dropdown - sorts habit list by name ascending","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","1830","TC74 - Home - toggle show archived habits","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","999","TC16 - HabitCard - removes a habit after confirm dialog","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","735","TC40 - LogoutButton - logout button logs out and navigates to /login","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","907","TC36 - HabitCard - mark habit as done disables mark done button","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","990","TC44 - Home page - search filters habit list results","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","831","TC71 - Home - search filters habits by name","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","888","TC62 - Filters - toggle show archived habits","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","743","TC27 - HabitForm - allows creating a new habit","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","11727","TC34 - HabitCard - edit habit updates name, category, target per week, and notes","chromium","2026-09-22","failed","2026-09-22","Home","home.spec.ts","",""
"","62560","TC09 - Home - clears all filters and resets controls","chromium","2026-09-22","broken","2026-09-22","Home","home.spec.ts","",""
"","683","TC11 - Home - page loads with unconditional elements visible","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","634","TC80 - Home page - loads and renders main UI elements","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","60386","TC13 - HabitCard - edits a habit\'s name, category, target per week, and notes successfully","chromium","2026-09-22","broken","2026-09-22","Home","home.spec.ts","",""
"","1107","TC46 - Home page - toggling show archived controls archived habits visibility","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","638","TC01 - HabitForm - creates a new habit successfully","chromium","2026-09-22","failed","2026-09-22","Home","home.spec.ts","",""
"","636","TC02 - Stats - navigates back to home page from back link","chromium","2026-09-22","passed","2026-09-22","Stats","stats.spec.ts","",""
"","577","TC82 - Home page - initial render with unconditional elements","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","552","TC32 - Home page - initial render shows main heading, filter, show archived checkbox, export buttons disabled, and navigation link","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","631","TC66 - Navigation - navigate to Archive page","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","1119","TC15 - HabitCard - archives and unarchives a habit","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","752","TC53 - Home - searches for habits by name","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","775","TC25 - HabitCard - Save button disabled when name input is empty or blank","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","691","TC39 - Home - Export JSON and Export CSV buttons are disabled when no habits exist and enabled after habits are created","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","553","TC76 - Home - page loads with unconditional elements","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","522","TC05 - Stats page - initial render shows heading, description, back link, theme toggle, and logout button","chromium","2026-09-22","passed","2026-09-22","Stats","stats.spec.ts","",""
"","1017","TC73 - Home - filter habits by category","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","763","TC65 - Navigation - navigate to View stats page","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","730","TC04 - Stats - has navigation link back to home page","chromium","2026-09-22","passed","2026-09-22","Stats","stats.spec.ts","",""
"","701","TC67 - Home - page loads and displays header and date","chromium","2026-09-22","failed","2026-09-22","Home","home.spec.ts","",""
"","1122","TC52 - Home - filters habits by category","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","658","TC42 - HabitForm - add new habit successfully resets form","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
"","1174","TC43 - HabitCard - edit habit and save changes updates displayed name and disables save button when empty","chromium","2026-09-22","passed","2026-09-22","Home","home.spec.ts","",""
