"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","436","TC22 - Home page - page loads and displays unconditional controls","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","513","TC02 - Login Page - shows error message on invalid credentials","chromium","2026-09-17","passed","2026-09-17","Login","login.spec.ts","",""
"","1041","TC01 - Home page - page loads and renders unconditional elements","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1007","TC12 - HabitCard inline edit form - saves edited habit and closes form","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","984","TC26 - Home page - search filters habit list results","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1190","TC25 - HabitCard - edit habit and save changes updates displayed name and disables save button when empty","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","11663","TC29 - Home page - Complete all for today bulk action disables button and updates label","chromium","2026-09-17","failed","2026-09-17","Home","home.spec.ts","",""
"","732","TC32 - HabitForm - creates a new habit successfully","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","655","TC01 - Login Page - loads and renders unconditional elements","chromium","2026-09-17","passed","2026-09-17","Login","login.spec.ts","",""
"","859","TC11 - HabitCard inline edit form - opens and cancels edit mode","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","491","TC08 - LoginPage - invalid login shows error message without navigation","chromium","2026-09-17","passed","2026-09-17","Login","login.spec.ts","",""
"","806","TC30 - Home page - Export JSON and CSV buttons visibility and disabled state","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","938","TC06 - HabitCard - Save button disabled when name input is empty or blank","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1874","TC35 - HabitCard - toggles archive and unarchive of a habit","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1283","TC24 - HabitCard - mark habit done today disables button and changes label","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","503","TC01 - Stats - displays heading and description","chromium","2026-09-17","passed","2026-09-17","Stats","stats.spec.ts","",""
"","455","TC05 - Login Page - displays error message on invalid credentials","chromium","2026-09-17","passed","2026-09-17","Login","login.spec.ts","",""
"","989","TC27 - Home page - category filter updates visible habits","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","433","TC04 - HabitForm - form validation disables Add habit button for empty name","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","1262","TC34 - HabitCard - marks a habit as completed today","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","393","TC06 - LoginPage - initial render shows login form with name and password fields and sign in button","chromium","2026-09-17","passed","2026-09-17","Login","login.spec.ts","",""
"","802","TC02 - HabitForm - successful habit creation adds new habit to list","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
"","692","TC20 - Home - Export JSON and Export CSV buttons are disabled when no habits exist and enabled after habits are created","chromium","2026-09-17","passed","2026-09-17","Home","home.spec.ts","",""
