"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1245","TC37 - Home - sorts habits by different criteria updates visible list","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","12054","TC16 - HabitCard - edit habit updates name, category, target per week, and notes","chromium","2026-09-25","failed","2026-09-25","Home","home.spec.ts","",""
"","1284","TC56 - Home - toggles pin state on a habit card","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","915","TC78 - Navigation - navigate to History page","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","62864","TC57 - Home - cycles priority on a habit card","chromium","2026-09-25","broken","2026-09-25","Home","home.spec.ts","",""
"","758","TC53 - Priority filter - filters habits by priority","chromium","2026-09-25","failed","2026-09-25","Home","home.spec.ts","",""
"","986","TC55 - HabitForm - creates a new habit with priority","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","594","TC82 - Home - navigation links go to correct routes","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","994","TC09 - HabitForm - allows creating a new habit","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","1324","TC11 - HabitCard - marks habit done today disables button","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","1310","TC85 - Home - filter habits by category","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","680","TC58 - Home - filters habits by priority","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","62698","TC63 - HabitCard - cycle priority on a habit card","chromium","2026-09-25","broken","2026-09-25","Home","home.spec.ts","",""
"","595","TC19 - Home - filter habits list by category changes displayed habits accordingly","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","821","TC79 - Navigation - navigate to View stats page","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","1894","TC25 - HabitCard - edit habit and save changes updates displayed name and disables save button when empty","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","640","TC05 - HabitForm - form validation disables Add habit button for empty name","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","841","TC54 - Clear filters button - resets all filters","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","1589","TC39 - Home - completes all incomplete habits for today with bulk action","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","742","TC89 - Home - clicking clear filters resets all filters to default","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","701","TC24 - HabitForm - add new habit successfully resets form","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","979","TC61 - HabitForm - create a new habit successfully","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","704","TC03 - Home page - page loads and renders unconditional elements","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","1277","TC62 - HabitCard - toggle pin state on a habit card","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","655","TC40 - Home - page loads with unconditional elements visible","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","780","TC71 - Home - clears all filters and resets controls","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","1104","TC41 - HabitForm - adds a new habit successfully","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","62846","TC69 - HabitList - toggles archive state of a habit","chromium","2026-09-25","broken","2026-09-25","Home","home.spec.ts","",""
"","1077","TC07 - HabitCard - Save button disabled when name input is empty or blank","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","11364","TC76 - Filters - toggle show archived habits","chromium","2026-09-25","failed","2026-09-25","Home","home.spec.ts","",""
"","2130","TC28 - Home page - toggling show archived controls archived habits visibility","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","613","TC08 - Page heading and static elements render","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","1326","TC65 - HabitList - deletes a habit after confirmation","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","696","TC80 - Navigation - navigate to Archive page","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","1295","TC45 - HabitCard - removes a habit after confirm dialog","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","609","TC88 - Home - page loads with unconditional elements","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","682","TC60 - Home - imports habits from CSV file","chromium","2026-09-25","failed","2026-09-25","Home","home.spec.ts","",""
"","803","TC91 - Home - shows clear filters button when filters are active","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","1407","TC13 - HabitCard inline edit form - saves edited habit and closes form","chromium","2026-09-25","passed","2026-09-25","Home","home.spec.ts","",""
"","801","TC31 - HabitForm - creates a new habit successfully","chromium","2026-09-25","failed","2026-09-25","Home","home.spec.ts","",""
"","777","TC50 - Complete all button - completes all pending habits","chromium","2026-09-25","failed","2026-09-25","Home","home.spec.ts","",""
